HOTRAZONSOCIAL,HOTLOCALIDAD,ANIO,MES,DIAS,Importe,CARGO
ALTOS DE MERLO,VILLA DE MERLO,2021,1,4,30912,1190
TRONADOR,MAR DEL PLATA,2023,2,8,349440,1372
TRONADOR,MAR DEL PLATA,2023,2,8,437760,1372
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2023,2,7,140530,1372
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2024,1,6,659178,1160
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,7,6,124560,1372
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2023,2,7,279412,1721
DESIGN BUENOS AIRES,C.A.B.A.,2023,2,7,175736,1721
PARADISO PLAYA,VALERIA DEL MAR,2024,2,10,844748,1180
PARADISO PLAYA,VALERIA DEL MAR,2024,2,10,985539,1180
PARADISO PLAYA,VALERIA DEL MAR,2022,1,8,161256,1180
PARADISO PLAYA,VALERIA DEL MAR,2022,2,6,103560,1180
PARADISO PLAYA,VALERIA DEL MAR,2020,2,5,29150,1180
PARADISO PLAYA,VALERIA DEL MAR,2020,2,5,27210,1180
CABAÑAS COIRÓN,VILLA GESELL,2023,1,6,134400,1340
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,11,9,84616,1140
CABAÑAS PUERTO HAMLET,CARILÓ,2021,11,7,54582,1372
CABAÑAS COIRÓN,VILLA GESELL,2023,2,12,268800,1372
PARADISO PLAYA,VALERIA DEL MAR,2020,2,10,58300,1721
PARADISO PLAYA,VALERIA DEL MAR,2020,1,8,66992,1160
PARADISO PLAYA,VALERIA DEL MAR,2022,10,3,87864,1160
CABAÑAS PUERTO HAMLET,CARILÓ,2022,1,3,71289,75,1170
CABAÑAS PUERTO HAMLET,CARILÓ,2022,2,5,115618,75,1170
PARADISO PLAYA,VALERIA DEL MAR,2020,2,7,50826,95,1170
CABAÑAS PUERTO HAMLET,CARILÓ,2021,1,7,105989,1170
CABAÑAS PUERTO HAMLET,CARILÓ,2023,2,7,248094,1170
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,5,3,54720,1372
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2021,8,2,12370,1372
SAVOIA - OSTENDE,OSTENDE,2020,2,7,42525,1372
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2022,4,6,77885,1372
BAHÍA MONTAÑA RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2022,4,5,56000,1372
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2022,2,7,117306,1372
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2021,12,4,21020,1372
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2023,12,7,435083,1372
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2022,4,7,33600,1150
CASEROS 248,CORDOBA,2022,9,3,24353,1360
CABAÑAS PUERTO HAMLET,CARILÓ,2022,1,2,45354,1372
CABAÑAS PUERTO HAMLET,CARILÓ,2022,2,11,249447,1372
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2023,7,5,272025,1731
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2020,2,5,23855,1314
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2023,5,1,13347,1360
HOTEL DEL SOL,C.A.B.A.,2023,8,1,6900,1360
HOTEL DEL SOL,C.A.B.A.,2023,8,1,11250,1360
SAVOIA - OSTENDE,OSTENDE,2020,1,14,90412,1721
DESIGN SALTA,SALTA,2023,8,1,53711,1721
DESIGN SALTA,SALTA,2023,8,2,107421,1721
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2023,11,2,124898,1721
AMÉRIAN - TUCUMÁN,SAN MIGUEL DE TUCUMÁN,2021,4,1,2543,1731
BAHÍA MONTAÑA RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2021,3,7,94724,1731
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2022,6,2,23490,1731
DAZZLER,PUERTO MADRYN,2023,11,4,146990,1731
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2021,9,5,39435,1180
DESIGN BUENOS AIRES,C.A.B.A.,2022,9,2,18377,1731
ALEJANDRO I,SALTA,2022,7,2,23232,1372
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,3,4,34656,1372
DAZZLER,PUERTO MADRYN,2022,1,3,46042,1721
DAZZLER,PUERTO MADRYN,2021,12,6,92990,1721
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2022,7,1,16506,1721
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,6,4,63203,1721
AMÉRIAN - TUCUMÁN,SAN MIGUEL DE TUCUMÁN,2022,3,4,41043,1721
PARADISO PLAYA,VALERIA DEL MAR,2023,1,6,243860,1721
HOWARD JOHNSON CÓRDOBA,CORDOBA,2023,3,1,12870,1721
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2023,7,6,144060,1721
HOTEL SANTA ELÍA,MAR DEL PLATA,2022,10,2,12060,1731
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,3,4,25993,1731
HOTEL SANTA ELÍA,MAR DEL PLATA,2023,10,2,40200,1731
DESIGN BUENOS AIRES,C.A.B.A.,2022,10,3,43030,1313
TRONADOR,MAR DEL PLATA,2023,3,3,69300,1313
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2023,4,4,98454,1313
DESIGN BUENOS AIRES,C.A.B.A.,2022,2,2,9148,1340
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2021,3,3,17640,1340
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,10,6,167910,1340
CABAÑAS PUERTO HAMLET,CARILÓ,2021,3,8,34776,1333
PARADISO PLAYA,VALERIA DEL MAR,2021,11,3,22191,1333
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2021,11,3,22191,1333
SAVOIA - OSTENDE,OSTENDE,2022,1,7,92610,1313
SAVOIA - OSTENDE,OSTENDE,2021,12,2,26460,1313
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2020,12,18,196812,1313
LOS YÁMANAS,USHUAIA,2023,9,6,409962,1313
CABAÑAS PUERTO HAMLET,CARILÓ,2023,2,7,391653,1313
CABAÑAS PUERTO HAMLET,CARILÓ,2020,12,3,34209,1313
TRONADOR,MAR DEL PLATA,2021,7,3,21150,1313
PINARES PANORAMA SUITES & SPA,VILLA CARLOS PAZ,2021,1,5,48930,1340
BAHÍA MONTAÑA RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2022,3,2,42000,1340
CASEROS 248,CORDOBA,2022,7,3,29717,1340
RIVIERA TOWER SUITES,VILLA CARLOS PAZ,2023,7,4,72000,1340
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,6,2,52599,1140
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2023,7,6,411075,1140
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,6,2,53970,1731
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,6,1,26985,1731
PARADISO PLAYA,VALERIA DEL MAR,2023,3,4,84120,1731
DAZZLER,PUERTO MADRYN,2022,1,6,54528,1173
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2020,1,2,5636,1173
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2020,2,11,70807,1160
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2020,2,8,51496,1160
DAZZLER,PUERTO MADRYN,2023,10,4,263624,1172
PARADISO PLAYA,VALERIA DEL MAR,2024,1,7,976500,1314
CABAÑAS PUERTO HAMLET,CARILÓ,2023,1,14,918967,1170
SAVOIA - OSTENDE,OSTENDE,2020,2,7,96040,1170
CABAÑAS PUERTO HAMLET,CARILÓ,2022,1,12,258900,1170
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,10,4,63876,1190
TRONADOR,MAR DEL PLATA,2022,2,4,39440,1721
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2020,1,7,34104,1721
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2020,2,6,40824,1721
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,9,7,70238,1721
CABAÑAS PUERTO HAMLET,CARILÓ,2023,4,3,86736,1333
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2023,9,1,58575,1313
CABAÑAS PUERTO HAMLET,CARILÓ,2023,9,2,40185,1192
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2024,1,8,590175,1192
HOSTAL DEL SOL,SAN BERNARDO,2023,4,3,59907,1163
ALEJANDRO I,SALTA,2023,7,7,472263,1721
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,7,6,70392,1721
PARADISO PLAYA,VALERIA DEL MAR,2020,2,11,67518,1160
PARADISO PLAYA,VALERIA DEL MAR,2024,2,10,1059000,1160
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2022,7,2,27225,1332
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2022,6,1,9042,1332
CABAÑAS PUERTO HAMLET,CARILÓ,2022,2,14,278908,1360
PARADISO PLAYA,VALERIA DEL MAR,2020,2,14,80206,1360
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,2,5,213000,1340
CABAÑAS PUERTO HAMLET,CARILÓ,2023,1,14,783185,1130
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,7,58128,1711
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,7,58128,1711
CABAÑAS PUERTO HAMLET,CARILÓ,2022,1,6,129450,1711
CABAÑAS PUERTO HAMLET,CARILÓ,2022,7,7,110789,1711
CABAÑAS PUERTO HAMLET,CARILÓ,2022,10,3,46284,1711
CABAÑAS COIRÓN,VILLA GESELL,2022,2,9,93805,2,1160
CABAÑAS COIRÓN,VILLA GESELL,2020,2,14,57456,1160
CABAÑAS COIRÓN,VILLA GESELL,2020,2,14,52920,1160
PARADISO PLAYA,VALERIA DEL MAR,2023,2,5,251670,1160
PARADISO PLAYA,VALERIA DEL MAR,2023,3,3,151002,1160
PARADISO PLAYA,VALERIA DEL MAR,2024,2,7,632450,1160
DAZZLER,PUERTO MADRYN,2023,10,4,228474,1156
PARADISO PLAYA,VALERIA DEL MAR,2022,1,14,234892,1156
PARADISO PLAYA,VALERIA DEL MAR,2023,1,14,744007,1156
TRONADOR,MAR DEL PLATA,2020,12,3,16296,1168
SAVOIA - OSTENDE,OSTENDE,2020,12,7,51940,1168
TRONADOR,MAR DEL PLATA,2020,12,7,38024,1168
HOTEL DEL SOL,C.A.B.A.,2022,11,2,11760,1731
HOTEL DEL SOL,C.A.B.A.,2023,6,2,16200,1731
PARADISO PLAYA,VALERIA DEL MAR,2020,2,8,53256,1180
PARADISO PLAYA,VALERIA DEL MAR,2023,12,4,518400,1180
PARADISO PLAYA,VALERIA DEL MAR,2024,1,4,562200,1372
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2024,1,2,243300,1372
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2023,1,10,74200,1313
BAHÍA MONTAÑA RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2023,1,7,301840,1360
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,8,3,126156,1360
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2023,2,7,268800,1170
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2023,10,3,43650,1170
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2023,10,3,261900,1170
CABAÑAS PUERTO HAMLET,CARILÓ,2023,10,2,59993,1170
PARADISO PLAYA,VALERIA DEL MAR,2020,2,10,87970,1313
PARADISO PLAYA,VALERIA DEL MAR,2023,2,9,322849,1313
AMÉRIAN - TUCUMÁN,SAN MIGUEL DE TUCUMÁN,2023,10,7,164052,1721
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,7,4,50280,1721
CABAÑAS PUERTO HAMLET,CARILÓ,2022,10,6,90201,1312
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,7,3,137597,1312
DESIGN BUENOS AIRES,C.A.B.A.,2023,6,1,26844,1312
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2023,6,7,115579,1313
CABAÑAS COIRÓN,VILLA GESELL,2023,2,11,215600,1313
CABAÑAS PUERTO HAMLET,CARILÓ,2021,9,3,16359,1332
CABAÑAS COIRÓN,VILLA GESELL,2022,1,3,30858,1160
CABAÑAS COIRÓN,VILLA GESELL,2022,2,8,82288,1160
CABAÑAS COIRÓN,VILLA GESELL,2023,2,8,168000,1160
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2023,11,4,78795,1312
ALEJANDRO I,SALTA,2022,6,5,46238,1312
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2020,3,4,12036,1312
TRONADOR,MAR DEL PLATA,2023,11,3,91800,1721
PARADISO PLAYA,VALERIA DEL MAR,2020,12,5,49043,33,1150
CABAÑAS PUERTO HAMLET,CARILÓ,2022,6,2,15248,1150
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2022,9,3,95128,1150
CABAÑAS PUERTO HAMLET,CARILÓ,2022,7,2,42117,1150
CABAÑAS PUERTO HAMLET,CARILÓ,2023,2,8,283536,1150
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2022,12,3,95128,1150
DESIGN CALAFATE,CALAFATE,2023,6,2,60151,1150
CABAÑAS PUERTO HAMLET,CARILÓ,2022,1,7,130081,1731
DESIGN BUENOS AIRES,C.A.B.A.,2021,11,5,28800,1731
DESIGN SALTA,SALTA,2022,8,3,82476,1731
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,8,3,66066,1731
PURO MOCONA LODGE & SUITES,EL SOBERBIO, MISIONESTEL,2023,4,3,75185,1731
SAVOIA - OSTENDE,OSTENDE,2020,1,7,68250,1721
PARADISO PLAYA,VALERIA DEL MAR,2020,1,8,90056,1372
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2021,11,4,19868,1320
TRONADOR,MAR DEL PLATA,2022,11,3,36000,1320
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2022,9,4,81900,1721
PREMIUM TOWER SAN LUIS,CIUDAD SAN LUIS,2020,2,5,18450,45,1372
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2020,2,2,7444,1372
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,11,3,198045,1160
CABAÑAS PUERTO HAMLET,CARILÓ,2021,6,2,10764,1156
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,12,6,52368,1170
CABAÑAS COIRÓN,VILLA GESELL,2022,2,7,74399,5,1170
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2020,2,4,27724,1721
TRONADOR,MAR DEL PLATA,2020,2,9,42120,1313
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,1,7,54033,1313
TRONADOR,MAR DEL PLATA,2022,1,10,114000,1313
TRONADOR,MAR DEL PLATA,2023,2,7,207900,1313
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2022,11,2,30351,1721
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2022,11,2,18347,1721
DESIGN SALTA,SALTA,2022,9,3,72953,1721
ALEJANDRO I,SALTA,2022,8,3,31572,1721
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2022,6,5,109085,1721
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2022,6,5,109085,1721
RESIDENCIA PARQUE BONITO,VILLA GESELL,2020,1,6,40434,1721
RESIDENCIA PARQUE BONITO,VILLA GESELL,2020,1,6,36264,1721
RESIDENCIA PARQUE BONITO,VILLA GESELL,2020,1,359,36264,1721
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2020,3,1,3465,1721
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2020,3,2,6930,1721
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2020,3,1,3712,1721
PARADISO PLAYA,VALERIA DEL MAR,2020,12,4,41580,1130
CABAÑAS COIRÓN,VILLA GESELL,2023,2,9,189000,1170
DESIGN BUENOS AIRES,C.A.B.A.,2020,2,2,11256,1332
CABAÑAS COIRÓN,VILLA GESELL,2020,2,6,24300,1332
DESIGN BUENOS AIRES,C.A.B.A.,2022,8,1,9924,1332
DESIGN BUENOS AIRES,C.A.B.A.,2022,8,1,9189,1332
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2023,7,7,374404,1721
PURO MOCONA LODGE & SUITES,EL SOBERBIO, MISIONESTEL,2023,7,2,206640,1314
PURO MOCONA LODGE & SUITES,EL SOBERBIO, MISIONESTEL,2023,7,2,0,1314
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2022,1,8,152520,1314
CABAÑAS PUERTO HAMLET,CARILÓ,2020,1,7,62349,1333
DESIGN CALAFATE,CALAFATE,2022,9,4,70785,1372
DESIGN BUENOS AIRES,C.A.B.A.,2023,6,1,60661,1721
DESIGN BUENOS AIRES,C.A.B.A.,2023,6,2,54596,1721
HOTEL CHAMONIX,SAN CARLOS DE BARILOCHE,2023,6,6,120120,1721
HOTEL SANTA ELÍA,MAR DEL PLATA,2022,11,6,42840,1721
HOTEL SANTA ELÍA,MAR DEL PLATA,2022,11,6,42840,1721
HOTEL SANTA ELÍA,MAR DEL PLATA,2021,11,5,7650,1721
HOTEL SANTA ELÍA,MAR DEL PLATA,2021,12,4,19968,1721
HOTEL HUAICO,SALTA,2020,4,3,14553,1190
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2021,7,4,30692,1180
RIVIERA TOWER SUITES,VILLA CARLOS PAZ,2021,8,4,14000,1372
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,5,10,146977,1360
TRONADOR,MAR DEL PLATA,2023,3,3,64680,1731
DESIGN BUENOS AIRES,C.A.B.A.,2023,5,2,54596,1731
PARADISO PLAYA,VALERIA DEL MAR,2023,1,3,152060,1190
PARADISO PLAYA,VALERIA DEL MAR,2023,2,4,191883,1190
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2022,12,3,41927,1190
PARADISO PLAYA,VALERIA DEL MAR,2024,2,10,917250,1190
DESIGN BUENOS AIRES,C.A.B.A.,2023,1,2,32017,1731
HOTEL DEL SOL,C.A.B.A.,2023,11,4,58800,1731
CABAÑAS PUERTO HAMLET,CARILÓ,2023,3,3,82508,4511
CABAÑAS PUERTO HAMLET,CARILÓ,2021,11,3,34969,4511
CABAÑAS PUERTO HAMLET,CARILÓ,2021,11,3,32638,4511
CABAÑAS PUERTO HAMLET,CARILÓ,2020,4,4,14700,4511
CABAÑAS PUERTO HAMLET,CARILÓ,2021,3,6,42324,4511
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,6,44580,4511
CABAÑAS PUERTO HAMLET,CARILÓ,2023,9,6,153045,4511
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2023,2,10,320866,1372
SAVOIA - OSTENDE,OSTENDE,2023,2,7,312375,1314
PARADISO PLAYA,VALERIA DEL MAR,2021,11,2,13198,1314
CABAÑAS PUERTO HAMLET,CARILÓ,2022,2,3,59520,1340
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2022,7,2,33853,1190
DAZZLER,PUERTO MADRYN,2021,8,8,63480,1190
TRONADOR,MAR DEL PLATA,2023,5,4,81600,1190
DESIGN BUENOS AIRES,C.A.B.A.,2023,1,1,17152,1372
HOWARD JOHNSON CÓRDOBA,CORDOBA,2023,1,4,102956,1721
CASEROS 248,CORDOBA,2022,10,3,71485,1721
DESIGN BUENOS AIRES,C.A.B.A.,2023,5,3,69268,1721
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2022,6,6,73689,1721
HOWARD JOHNSON CÓRDOBA,CORDOBA,2023,10,3,166665,1721
DESIGN BUENOS AIRES,C.A.B.A.,2022,6,1,13953,1721
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2020,1,3,19665,74,1340
DESIGN CALAFATE,CALAFATE,2021,10,3,48234,1721
DESIGN CALAFATE,CALAFATE,2021,3,5,73200,1721
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2022,4,7,65494,1721
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2023,7,7,538178,1160
TRONADOR,MAR DEL PLATA,2023,7,6,172800,1312
DESIGN BUENOS AIRES,C.A.B.A.,2023,6,6,199614,1340
DESIGN BUENOS AIRES,C.A.B.A.,2022,7,1,18132,1340
DESIGN BUENOS AIRES,C.A.B.A.,2022,7,3,41859,1340
TRONADOR,MAR DEL PLATA,2022,12,2,30800,1340
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,11,2,84700,1340
PREMIUM TOWER SAN LUIS,CIUDAD SAN LUIS,2022,5,2,12001,1372
PARADISO PLAYA,VALERIA DEL MAR,2021,2,7,93800,1731
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,2,7,70119,1312
PARADISO PLAYA,VALERIA DEL MAR,2023,2,7,192807,1340
PARADISO PLAYA,VALERIA DEL MAR,2020,1,1,7954,1331
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2023,9,5,180000,1331
PARADISO PLAYA,VALERIA DEL MAR,2023,3,9,191434,1340
PARADISO PLAYA,VALERIA DEL MAR,2020,3,12,35064,1340
PARADISO PLAYA,VALERIA DEL MAR,2022,3,11,110683,1340
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,10,4,63876,1313
CABAÑAS PUERTO HAMLET,CARILÓ,2023,2,3,154940,1190
CABAÑAS PUERTO HAMLET,CARILÓ,2023,2,1,51647,1190
PARADISO PLAYA,VALERIA DEL MAR,2021,12,3,38181,1190
VALERIA,VALERIA DEL MAR,2022,2,5,111000,1190
CABAÑAS PUERTO HAMLET,CARILÓ,2020,1,13,108069,1340
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,1,7553,1340
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2022,7,2,32761,1372
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2023,2,8,290993,1130
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2023,5,2,52800,1160
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2022,7,1,7251,1160
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2021,9,3,20325,1160
LOS YÁMANAS,USHUAIA,2021,12,3,34899,1731
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2022,12,2,22823,1731
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2022,12,2,32400,1731
SAVOIA - OSTENDE,OSTENDE,2023,1,7,147000,1360
SAVOIA - OSTENDE,OSTENDE,2022,2,6,58800,1340
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,3,9,63474,1160
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2022,1,1,17507,1312
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2022,2,6,90375,1312
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2020,2,7,31808,1312
PREMIUM TOWER SAN LUIS,CIUDAD SAN LUIS,2021,10,2,8738,1340
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2023,1,7,153405,1340
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,4,4,43406,95,1312
TRONADOR,MAR DEL PLATA,2022,3,5,57000,JJJJ
SAVOIA - OSTENDE,OSTENDE,2023,3,7,117600,1180
TRONADOR,MAR DEL PLATA,2023,7,2,58800,1140
ALTOS DE MERLO,VILLA DE MERLO,2021,10,3,23940,1140
ALTOS DE MERLO,VILLA DE MERLO,2020,3,7,25680,1140
VALERIA,VALERIA DEL MAR,2020,12,4,29333,33,1150
HOTEL DEL SOL,C.A.B.A.,2023,9,1,16800,1340
HOTEL DEL SOL,C.A.B.A.,2023,6,2,9900,1314
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2023,4,2,14100,1314
PARADISO PLAYA,VALERIA DEL MAR,2021,10,3,19059,1314
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2023,3,6,46060,1354
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2023,3,6,39480,1354
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2021,11,3,7488,1731
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2023,10,4,67200,1731
PARADISO PLAYA,VALERIA DEL MAR,2021,11,7,45185,1372
SAVOIA - OSTENDE,OSTENDE,2020,1,4,24300,1372
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2023,9,2,96000,1372
HOSTAL DEL SOL,SAN BERNARDO,2021,2,7,40572,1731
RESIDENCIA SERRANA DE TANTI,TANTI - VILLA SANTA CRUZ DEL LAGO - CORDOBA,2022,1,7,62230,1731
HOTEL SANTA ELÍA,MAR DEL PLATA,2022,11,7,59600,1731
ALTOS DE MERLO,VILLA DE MERLO,2022,8,3,35280,4420
ALTOS DE MERLO,VILLA DE MERLO,2022,8,3,37800,4420
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,1,5,45310,4420
TRONADOR,MAR DEL PLATA,2021,7,2,7840,4420
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2023,5,8,478436,1210
TRONADOR,MAR DEL PLATA,2023,2,5,158400,1313
TRONADOR,MAR DEL PLATA,2022,2,7,85120,1313
TRONADOR,MAR DEL PLATA,2022,8,4,33600,1190
TRONADOR,MAR DEL PLATA,2023,11,4,120000,1190
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2021,12,7,52955,1731
HOTEL DEL SOL,C.A.B.A.,2023,6,2,16200,1731
LOS YÁMANAS,USHUAIA,2023,8,4,181245,1721
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2022,2,8,198480,1130
CASEROS 248,CORDOBA,2022,6,5,42449,1130
LOS YÁMANAS,USHUAIA,2022,9,5,75720,1130
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2020,2,6,22332,1130
DESIGN CALAFATE,CALAFATE,2024,2,5,418585,1130
HOTEL DEL SOL,C.A.B.A.,2020,4,1,1643,JJJJ
DAZZLER,PUERTO MADRYN,2021,9,3,28566,JJJJ
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2021,2,3,9060,JJJJ
PREMIUM TOWER SAN LUIS,CIUDAD SAN LUIS,2022,4,3,18349,JJJJ
CABAÑAS PUERTO HAMLET,CARILÓ,2022,2,7,86723,JJJJ
CABAÑAS PUERTO HAMLET,CARILÓ,2023,2,7,231555,JJJJ
RIVIERA TOWER SUITES,VILLA CARLOS PAZ,2021,11,5,14000,JJJJ
PARADISO PLAYA,VALERIA DEL MAR,2020,3,14,87332,1120
ALTOS DE MERLO,VILLA DE MERLO,2022,3,4,45600,1220
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2022,12,7,73947,1140
DESIGN BUENOS AIRES,C.A.B.A.,2023,6,6,99807,1313
