HOTRAZONSOCIAL,HOTLOCALIDAD,ANIO,MES,DIAS,Importe,CARGO
DESIGN BUENOS AIRES,C.A.B.A.,2023,10,6,271570,1314
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2022,10,4,283500,1130
DESIGN BUENOS AIRES,C.A.B.A.,2022,9,3,31976,1360
DESIGN BUENOS AIRES,C.A.B.A.,2022,7,2,21154,1360
DESIGN BUENOS AIRES,C.A.B.A.,2023,5,1,16635,1360
CABAÑAS COIRÓN,VILLA GESELL,2021,12,10,49000,1180
LOS YÁMANAS,USHUAIA,2023,12,2,188265,1721
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,6,6,62255,1177
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2021,10,5,53807,5,1159
ALEJANDRO I,SALTA,2020,3,1,3897,1160
DESIGN SALTA,SALTA,2020,3,1,3627,1160
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2023,4,3,73288,1371
CABAÑAS PUERTO HAMLET,CARILÓ,2023,2,5,167082,1355
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2023,10,4,168000,1355
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2023,11,3,146947,1355
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,7,56661,5,1150
LOS YÁMANAS,USHUAIA,2023,10,4,349635,1150
TRONADOR,MAR DEL PLATA,2020,1,5,22050,1360
SAVOIA - OSTENDE,OSTENDE,2021,1,7,61740,1313
VALERIA,VALERIA DEL MAR,2021,11,6,46620,1313
TRONADOR,MAR DEL PLATA,2023,5,3,40320,1313
RIVIERA TOWER SUITES,VILLA CARLOS PAZ,2023,7,2,33600,1731
RIVIERA TOWER SUITES,VILLA CARLOS PAZ,2021,9,2,6750,1731
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2022,10,4,70560,1372
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,2,4,117040,1372
DESIGN BUENOS AIRES,C.A.B.A.,2023,3,4,82856,1340
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2022,12,2,20873,1372
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,4,2,43200,1340
SAVOIA - OSTENDE,OSTENDE,2023,1,13,509600,1180
SAVOIA - OSTENDE,OSTENDE,2022,1,1,13230,1180
SAVOIA - OSTENDE,OSTENDE,2022,2,19,251370,1180
SAVOIA - OSTENDE,OSTENDE,2020,1,19,114513,1180
SAVOIA - OSTENDE,OSTENDE,2020,1,19,114513,1180
SAVOIA - OSTENDE,OSTENDE,2020,1,1,6027,1180
HOTEL LIBERTADOR ****,ROSARIO - SANTA FE,2020,3,1,3436,4,1372
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2021,2,7,50960,1372
TRONADOR,MAR DEL PLATA,2022,8,5,82042,1372
TRONADOR,MAR DEL PLATA,2022,5,2,19040,1372
DESIGN CALAFATE,CALAFATE,2021,5,4,27924,1313
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2021,1,4,14448,1313
DESIGN CALAFATE,CALAFATE,2021,8,4,22580,1313
DESIGN BUENOS AIRES,C.A.B.A.,2023,9,2,99372,1313
TRONADOR,MAR DEL PLATA,2022,10,5,68160,1721
AMÉRIAN - TUCUMÁN,SAN MIGUEL DE TUCUMÁN,2023,3,7,87423,JJJJ
PARADISO PLAYA,VALERIA DEL MAR,2020,2,1,6662,5,JJJJ
PARADISO PLAYA,VALERIA DEL MAR,2020,3,6,21288,JJJJ
SAVOIA - OSTENDE,OSTENDE,2023,1,7,196875,1731
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2023,4,2,56295,1340
PARADISO PLAYA,VALERIA DEL MAR,2021,12,4,31012,1340
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2022,2,8,102949,33,1340
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2021,11,2,17040,1340
HOTEL CHAMONIX,SAN CARLOS DE BARILOCHE,2021,11,1,9441,1340
ALTOS DE MERLO,VILLA DE MERLO,2021,11,5,44700,1351
SAVOIA - OSTENDE,OSTENDE,2022,1,2,35700,1351
SAVOIA - OSTENDE,OSTENDE,2022,2,5,89250,1351
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2020,2,5,20760,1351
SAVOIA - OSTENDE,OSTENDE,2023,2,7,246750,1351
DESIGN BUENOS AIRES,C.A.B.A.,2023,1,2,59774,1360
AMÉRIAN - TUCUMÁN,SAN MIGUEL DE TUCUMÁN,2022,11,7,75061,1160
CABAÑAS PUERTO HAMLET,CARILÓ,2021,9,7,39615,1160
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2021,10,7,50771,1355
PURO MOCONA LODGE & SUITES,EL SOBERBIO, MISIONESTEL,2023,11,3,192120,1371
PARADISO PLAYA,VALERIA DEL MAR,2023,1,14,558002,1160
ALTOS DE MERLO,VILLA DE MERLO,2020,2,5,35700,1160
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2020,2,10,100580,1160
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2020,2,10,93870,1160
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2020,2,10,93870,1160
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2022,7,5,60055,1312
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2022,7,5,61658,1312
PARADISO PLAYA,VALERIA DEL MAR,2020,2,2,18068,1360
PARADISO PLAYA,VALERIA DEL MAR,2020,2,9,63072,1360
TRONADOR,MAR DEL PLATA,2023,1,2,52200,1360
TRONADOR,MAR DEL PLATA,2023,2,9,234900,1360
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2023,6,7,93450,1731
CABAÑAS PUERTO HAMLET,CARILÓ,2021,6,2,10830,1172
CABAÑAS PUERTO HAMLET,CARILÓ,2023,10,3,104097,1172
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,12,3,308250,1172
TRONADOR,MAR DEL PLATA,2020,1,10,33264,1360
PARADISO PLAYA,VALERIA DEL MAR,2021,12,2,22686,JJJJ
DESIGN BUENOS AIRES,C.A.B.A.,2022,12,1,17946,JJJJ
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2023,9,7,456933,4420
TRONADOR,MAR DEL PLATA,2023,3,7,94080,1731
TRONADOR,MAR DEL PLATA,2022,7,7,87710,1731
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2023,7,6,146700,1372
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2023,7,6,0,1372
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2023,7,1,0,1372
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2023,7,1,24450,1372
CABAÑAS PUERTO HAMLET,CARILÓ,2023,11,3,102173,1163
SAVOIA - OSTENDE,OSTENDE,2023,1,7,270375,1721
ALEJANDRO I,SALTA,2021,8,5,36118,5,1721
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2021,2,7,60564,1721
